Labels,Text,Text_Tag,Label_Text
1,Says the Annies List political group supports third-trimester abortions on demand.,abortion,False
2,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,"energy,history,job-accomplishments",Half-True
1,Health care reform legislation is likely to mandate free sex change surgeries.,health-care,False
2,The economic turnaround started at the end of my term.,"economy,jobs",Half-True
2,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",ethics,Half-True
2,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",jobs,Half-True
2,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.","economy,jobs,new-hampshire-2012,poverty",Half-True
1,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","history,state-budget",False
2,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",elections,Half-True
2,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.","financial-regulation,foreign-policy,water",Half-True
1,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,"economy,income",False
2,"Says Scott Walker favors cutting up to 350,000 families and children off health care.","health-care,message-machine",Half-True
1,I dont know who (Jonathan Gruber) is.,health-care,False
2,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,candidates-biography,Half-True
1,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","technology,terrorism",False
1,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"climate-change,energy,environment,government-regulation",False
1,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,"legal-issues,supreme-court",False
2,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,"military,voting-record",Half-True
1,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,"homeland-security,terrorism",False
2,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,"diversity,economy,jobs",Half-True
1,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,"deficit,federal-budget",False
1,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,"campaign-finance,ethics,history",False
2,"In Georgia, women earn 82 cents for every dollar earned by men.","jobs,women",Half-True
2,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,immigration,Half-True
1,Sen. Obama's campaign announced that he's choosing his cabinet.,elections,False
1,Only 2 percent of public high schools in the country offer PE classes.,"education,health-care",False
1,"Under Mayor Cicilline, [Providence] was a sanctuary city.","history,homeland-security,immigration,legal-issues,pundits",False
