Labels,Text,Text_Tag,Label_Text
1,Says the Annies List political group supports third-trimester abortions on demand.,abortion,False
1,Health care reform legislation is likely to mandate free sex change surgeries.,health-care,False
5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,education,True
1,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","history,state-budget",False
5,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,federal-budget,True
1,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,"economy,income",False
1,I dont know who (Jonathan Gruber) is.,health-care,False
1,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","technology,terrorism",False
5,Says Paul Ryan is still endorsing Trump.,"candidates-biography,elections,campaign-advertising",True
1,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"climate-change,energy,environment,government-regulation",False
5,We have a federal government that thinks they have the authority to regulate our toilet seats.,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",True
5,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"city-government,population",True
5,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",military,True
5,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",debt,True
1,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,"legal-issues,supreme-court",False
1,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,"homeland-security,terrorism",False
1,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,"deficit,federal-budget",False
5,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,patriotism,True
1,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,"campaign-finance,ethics,history",False
